airport_code,airport_name,state_name,avg_fare,inflation_adjusted_avg_fare,year,source_airport,routes,msa,per_capita_personal_income
CAK,Akron-Canton Regional,OH,347.682886201964,459.770110986458,2014,CAK,22,"Akron, OH (Metropolitan Statistical Area)",47076.0
CAK,Akron-Canton Regional,OH,338.901191631125,455.427454401394,2013,CAK,22,"Akron, OH (Metropolitan Statistical Area)",45737.0
CAK,Akron-Canton Regional,OH,319.880565775489,436.163692197469,2012,CAK,22,"Akron, OH (Metropolitan Statistical Area)",45638.0
CAK,Akron-Canton Regional,OH,319.496725890112,416.739084958943,2016,CAK,22,"Akron, OH (Metropolitan Statistical Area)",48667.0
CAK,Akron-Canton Regional,OH,310.663034490362,432.361017276885,2011,CAK,22,"Akron, OH (Metropolitan Statistical Area)",45696.0
CAK,Akron-Canton Regional,OH,366.538647531394,456.965353424953,2018,CAK,22,"Akron, OH (Metropolitan Statistical Area)",51210.0
CAK,Akron-Canton Regional,OH,288.054879638481,418.840043195524,2008,CAK,22,"Akron, OH (Metropolitan Statistical Area)",46572.0
CAK,Akron-Canton Regional,OH,314.002017389328,401.029628963414,2017,CAK,22,"Akron, OH (Metropolitan Statistical Area)",49635.0
CAK,Akron-Canton Regional,OH,315.007502930832,381.030656859273,2020,CAK,22,"Akron, OH (Metropolitan Statistical Area)",56011.0
CAK,Akron-Canton Regional,OH,356.377705846652,436.389370338482,2019,CAK,22,"Akron, OH (Metropolitan Statistical Area)",52112.0
CAK,Akron-Canton Regional,OH,279.795192158686,401.693897546403,2010,CAK,22,"Akron, OH (Metropolitan Statistical Area)",45209.0
CAK,Akron-Canton Regional,OH,299.267475351723,320.129522615943,2022,CAK,22,"Akron, OH (Metropolitan Statistical Area)",56462.0
CAK,Akron-Canton Regional,OH,305.130083253282,352.522018944697,2021,CAK,22,"Akron, OH (Metropolitan Statistical Area)",58435.0
CAK,Akron-Canton Regional,OH,320.920159922462,423.876690636901,2015,CAK,22,"Akron, OH (Metropolitan Statistical Area)",48158.0
CAK,Akron-Canton Regional,OH,256.252884820098,373.928521002161,2009,CAK,22,"Akron, OH (Metropolitan Statistical Area)",43887.0
ALB,Albany International,NY,433.522784132815,582.583310056677,2013,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48776.0
ALB,Albany International,NY,360.682833350311,524.443167530869,2008,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",46419.0
ALB,Albany International,NY,386.140510907906,472.834331813643,2019,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",56657.0
ALB,Albany International,NY,322.0030149159,389.492374443576,2020,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",60742.0
ALB,Albany International,NY,397.840507316122,508.104477678504,2017,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",54499.0
ALB,Albany International,NY,397.565542613393,518.569008738123,2016,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",52422.0
ALB,Albany International,NY,415.463871338311,444.426012681099,2022,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",59924.0
ALB,Albany International,NY,431.622058588122,570.093601612388,2015,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",52238.0
ALB,Albany International,NY,329.48393369995,480.788499645149,2009,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",46975.0
ALB,Albany International,NY,444.059609513667,587.217099411978,2014,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",50622.0
ALB,Albany International,NY,399.222844700759,497.712886629159,2018,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",55335.0
ALB,Albany International,NY,356.509244021149,411.881244663971,2021,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",62200.0
ALB,Albany International,NY,374.058406773803,537.024879404463,2010,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48904.0
ALB,Albany International,NY,418.245029973512,570.285650440307,2012,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",49761.0
ALB,Albany International,NY,410.866835042533,571.818282325555,2011,ALB,31,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48841.0
ABQ,Albuquerque International Sunport,NM,322.752909800175,463.367055315751,2010,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",39237.0
ABQ,Albuquerque International Sunport,NM,295.479070925679,357.409215448751,2020,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",49544.0
ABQ,Albuquerque International Sunport,NM,321.766248100577,467.857338235154,2008,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",40642.0
ABQ,Albuquerque International Sunport,NM,294.610857878865,429.901120665087,2009,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",39257.0
ABQ,Albuquerque International Sunport,NM,345.5351275249,399.202659641659,2021,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",52881.0
ABQ,Albuquerque International Sunport,NM,368.312921688149,451.004205218657,2019,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",45450.0
ABQ,Albuquerque International Sunport,NM,345.599553313566,430.860492030144,2018,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",44170.0
ABQ,Albuquerque International Sunport,NM,376.856832650214,491.557374059575,2016,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",42318.0
ABQ,Albuquerque International Sunport,NM,366.178852910053,467.667598882625,2017,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",41746.0
ABQ,Albuquerque International Sunport,NM,381.000008895768,503.2311555073,2015,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",41157.0
ABQ,Albuquerque International Sunport,NM,386.368099315991,510.926798395683,2014,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",39077.0
ABQ,Albuquerque International Sunport,NM,405.14615581753,433.389045365246,2022,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",49910.0
ABQ,Albuquerque International Sunport,NM,350.486889952153,470.996727169108,2013,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",37590.0
ABQ,Albuquerque International Sunport,NM,346.297355943101,481.954595407454,2011,ABQ,42,"Albuquerque, NM (Metropolitan Statistical Area)",38413.0
